sku_name,sales_2021
unze_GS5640 -Black-9,1
unze_GS5639 -Coffee-8,1
unze_GS5632 -Brown-6,1
unze_GS5628 -Black-10,1
unze_GS5611 -Black-9,1
unze_GS5608 -Beige-9,1
tucano_IPD7AN-BK,1
tucano_BLABK-B,1
trzw_FRC-16-001-Fawn/Teal Blue-M,1
tmx_wtch_T2N533,1
tmx_wtch_T28201,1
tmx_wtch_ T2N720_12,1
timex_T5K560,1
timex_T49988,1
timex_T49963,1
timex_T49867,1
timex_T46681,1
timex_T2P521,1
timex_T2P232,1
timex_T2P231,1
timex_T2P103,1
timex_T2P045,1
timex_T2P043,1
timex_T25771,1
timex_T20501,1
texi tech_Tool Kit 400077,1
texi tech_LCD Wall mount KIT 422840,1
tcl_ 24 inch D2720 HD Ready LED TV,1
swi_CP3360,1
stripyinterior_90003,1
stripyinterior_90002,1
stripyinterior_100006,1
stoner_95160,1
stinnos_WoodAlpha,1
stinnos_Winfun0804,1
stinnos_EidDeal3,1
stinnos_DressingSet1,1
stinnos_A134,1
stinnos_A127,1
stinnos_A122,1
stinnos_A118,1
stinnos_A115,1
stinnos_A104,1
stinnos_A040,1
stinnos_A024-Anger,1
stinnos_901,1
stinnos_742,1
stinnos_670,1
stinnos_568,1
stinnos_1549,1
stinnos_1500,1
starlet_ST 16004-Khaki-44,1
starlet_A208-18J-Black-44,1
ssw_WC-08-Regular Fit Large,1
ssw_WC-06 -Regular Fit Small,1
sstop_iflashotg3in1,1
sstop_etable,1
sst_Chakito-Regular fit-Medium,1
sputnik_8073/14-11,1
sputnik_5505/14 25T-8,1
sputnik_510/2-8,1
sputnik_4766/2-8,1
sony_DVP-SR370,1
sony_DSLR-ILCE-6000L,1
sony_CMT-S20,1
sinbo_7052,1
sinbo_4615,1
sinbo_3467,1
shubinak_SWWF14-Kurta-011-M - 36,1
shubinak_SWW-F14-017-L - 38,1
shubinak_SWS14-JAK-1020-M/L,1
sentiment_WCK04-A-,1
scent_CALVIN KLEIN FRESH 75ML,1
sapil_Sapil Passion Men 100ML,1
sapil_Sapil Nice Feelings Blue Men 75ML,1
sanasafinaz_march16_9B-Nationwide Delivery,1
sanasafinaz_march16_8B-Nationwide Delivery,1
sanasafinaz_march16_8A-Nationwide Delivery,1
sanasafinaz_march16_7A-Nationwide Delivery,1
sanasafinaz_march16_6B-Nationwide Delivery,1
sanasafinaz_march16_4A-Nationwide Delivery,1
sanasafinaz_march16_3A-Nationwide Delivery,1
sanasafinaz_march16_1B-Nationwide Delivery,1
sanasafinaz_march16_13A-Nationwide Delivery,1
sanasafinaz_march16_12B-Nationwide Delivery,1
sanasafinaz_march16_12A-Nationwide Delivery,1
sanasafinaz_march16_11B-Nationwide Delivery,1
"samsung_SUHD TVÃ‚Â  KS 8000 60""",1
samsung_40J5100,1
samsung_370,1
samsung_ EO-EG920BW_76,1
samsungGALAXY J710F-2016 DS LTE,1
samsungGALAXY J3 LTE DS QC,1
s_tv_KDL-60W600B,1
s_tv_KDL-50W800C,1
s_tv_KDL-48R562C,1
s_tv_KDL-43W800C,1
rute2_Coenzyme Q-10 ,1
rute2_6060,1
rute2_3671,1
rute2_3450,1
rute2_2821,1
rub_Rubian_VR-Box With Remote,1
rub_Rubian_Ultra-Slim Bluetooth Keyboard,1
rs_Rehmat-e-Shereen Mix Halwa 2000gm,1
rhythmf_I1203S-02,1
rhythm_S1411S-03,1
rhythm_G1201S-05,1
rhythm_G1107S-03,1
rhythm_G1107S-02,1
rhythm_G1105S-03,1
rhythm_C1303L-02,1
renna_DC-BBP-GR,1
regal_0635-C-Fawn Multicolour -10,1
redspot_9810477198,1
redspot_9789810517397,1
redspot_9789810517359,1
redspot_9789696230243,1
redspot_9789696230212,1
redspot_9789696230182,1
redspot_9789696230090,1
rebelz_Rainbow 6 Subjects Notebook ,1
rebelz_Rainbow 4 Subjects Notebook ,1
rebelz_Joy Joy 6 Subjects Notebook,1
progressive_9781445457970,1
progressive_9781445420028,1
progressive_9780857809940,1
pny_OU3 -32GB,1
plk_PD/ 988 790 _61,1
plk_FWI/ 959 080_11,1
phub_Pure Pioson  by Christian Dior 100ml EDP,1
phub_One Million  by Paco Rabanne 100ml  EDT ,1
phub_Light Blue  by Dolce & Gabbana 100ml EDT,1
phub_Legend Spirit by Mont Blanc 100ml  EDT,1
phub_L eau D issey  by Issey Miyake 100ml EDT,1
phub_Joop Homme Extreme 125ml  EDT ,1
phub_Hope  by Rasasi 75ml  EDP,1
phub_Fahrenheit ,1
phub_Desire Blue  by Dunhill 100ml  EDT ,1
phub_Boss Bottled Night ,1
phub_Armani 100ml  EDT ,1
phub_Allure Homme Sport  by Chanel 100ml  EDT ,1
pakistan_Pakistan Car Flag,1
oxford_9780199401871,1
oxford_9780199068524,1
oxford_9780195793406,1
oxford_9780195477115,1
orient_OM-30ARW,1
orient_32Inches-G6530-HDLEDTV,1
orbit_Light Purple Sofia the First -4-6 yrs,1
nvc_HDMI UC 40 - Home Cinema Projector - White,1
nutrifactor_NF0031,1
nutrifactor_NF003,1
naushemian_#0037-M,1
mm_Samsung Galaxy Note Edge N915,1
mm_AG-9031,1
mm_AG-2098,1
mm_AG-2032,1
mitsubishi_MS-F18VC-CS,1
mitsubhisi_1.0 Ton - SRK-13CMK,1
mau_115173,1
majestic_Sage Green 15 Pieces Cookware,1
majestic_15 Pc Cookware Set - Antique Grey,1
madela_HARMONY BREASTPUMP,1
madela_CALMA,1
liberty_Navy Blue Pullover for Boys-16 yrs - above - Size 42,1
liberty_9789351050100,1
liberty_9789350290668,1
liberty_9788184001716,1
liberty_9788174367181,1
liberty_9788129120946,1
liberty_9781849156004,1
liberty_9781780975351,1
liberty_9781450860482,1
liberty_9781445448046,1
liberty_9781445448015,1
liberty_9781409507161,1
liberty_9781409387060,1
liberty_9780982423813,1
liberty_9780857531995,1
liberty_9780857388384,1
liberty_9780753828182,1
liberty_9780719560057,1
liberty_9780545549042,1
liberty_9780446540759,1
liberty_9780440867395,1
liberty_9780349000084,1
liberty_9780241955413,1
liberty_9780199401932,1
liberty_9780141037172,1
liberty_9780062091581,1
liberty_9780008100995,1
lenovo_20ET000M00,1
lenovo_20DF000QUE,1
