payment_method,total_sales_x,total_quantity_sold_x,total_net_profit_x,month,total_sales_y,total_quantity_sold_y,total_net_profit_y,quarter,total_sales,total_quantity_sold,total_net_profit
Cash on Delivery,80104902.0,662,14655981.72,2022-05,2556466.0,6,758239.8,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-06,5623506.0,219,1524193.6,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-06,5623506.0,219,1524193.6,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-06,5623506.0,219,1524193.6,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-06,5623506.0,219,1524193.6,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-07,1518672.0,18,395996.16,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-07,1518672.0,18,395996.16,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-07,1518672.0,18,395996.16,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-07,1518672.0,18,395996.16,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-08,335124.0,3,73874.02,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-08,335124.0,3,73874.02,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-08,335124.0,3,73874.02,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-08,335124.0,3,73874.02,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-09,3983672.0,10,1148453.94,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-09,3983672.0,10,1148453.94,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-09,3983672.0,10,1148453.94,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-09,3983672.0,10,1148453.94,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-10,264480.0,3,64496.0,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-10,264480.0,3,64496.0,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-10,264480.0,3,64496.0,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-10,264480.0,3,64496.0,Q4,54260972.0,356,7232202.7
Cash on Delivery,80104902.0,662,14655981.72,2022-12,273470.0,4,66294.0,Q1,2341054.0,16,699140.7
Cash on Delivery,80104902.0,662,14655981.72,2022-12,273470.0,4,66294.0,Q2,17605088.0,258,5088218.2
Cash on Delivery,80104902.0,662,14655981.72,2022-12,273470.0,4,66294.0,Q3,5897788.0,32,1636420.12
Cash on Delivery,80104902.0,662,14655981.72,2022-12,273470.0,4,66294.0,Q4,54260972.0,356,7232202.7
Credit Card,2913731664.72,7529,869929375.84,2021-01,31753912.5,76,9526173.75,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-01,31753912.5,76,9526173.75,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-01,31753912.5,76,9526173.75,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-01,31753912.5,76,9526173.75,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-02,29189283.0,155,8756784.9,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-02,29189283.0,155,8756784.9,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-02,29189283.0,155,8756784.9,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-02,29189283.0,155,8756784.9,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-03,31206552.0,216,9350365.6,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-03,31206552.0,216,9350365.6,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-03,31206552.0,216,9350365.6,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-03,31206552.0,216,9350365.6,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-04,33178766.6,87,9924629.98,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-04,33178766.6,87,9924629.98,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-04,33178766.6,87,9924629.98,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-04,33178766.6,87,9924629.98,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-05,34064444.0,166,10136410.6,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-05,34064444.0,166,10136410.6,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-05,34064444.0,166,10136410.6,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-05,34064444.0,166,10136410.6,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-06,30780020.0,175,9176006.0,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-06,30780020.0,175,9176006.0,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-06,30780020.0,175,9176006.0,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-06,30780020.0,175,9176006.0,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-07,192686341.4,384,57707836.02,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-07,192686341.4,384,57707836.02,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-07,192686341.4,384,57707836.02,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-07,192686341.4,384,57707836.02,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-08,167014944.0,404,50046483.2,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-08,167014944.0,404,50046483.2,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-08,167014944.0,404,50046483.2,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-08,167014944.0,404,50046483.2,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-09,141691053.6,466,42463137.48,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-09,141691053.6,466,42463137.48,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-09,141691053.6,466,42463137.48,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-09,141691053.6,466,42463137.48,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-10,202519327.9,590,60726798.37,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-10,202519327.9,590,60726798.37,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-10,202519327.9,590,60726798.37,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-10,202519327.9,590,60726798.37,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-11,184329481.0,449,55269844.3,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-11,184329481.0,449,55269844.3,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-11,184329481.0,449,55269844.3,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-11,184329481.0,449,55269844.3,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2021-12,239820517.0,374,71940355.1,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2021-12,239820517.0,374,71940355.1,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2021-12,239820517.0,374,71940355.1,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2021-12,239820517.0,374,71940355.1,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-01,237556669.7,608,70987915.35,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-01,237556669.7,608,70987915.35,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-01,237556669.7,608,70987915.35,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-01,237556669.7,608,70987915.35,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-02,186408984.0,484,55880127.26,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-02,186408984.0,484,55880127.26,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-02,186408984.0,484,55880127.26,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-02,186408984.0,484,55880127.26,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-03,274536040.0,487,82175212.0,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-03,274536040.0,487,82175212.0,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-03,274536040.0,487,82175212.0,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-03,274536040.0,487,82175212.0,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-04,176455836.0,696,52614162.92,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-04,176455836.0,696,52614162.92,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-04,176455836.0,696,52614162.92,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-04,176455836.0,696,52614162.92,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-05,172303071.38,438,51530477.17,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-05,172303071.38,438,51530477.17,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-05,172303071.38,438,51530477.17,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-05,172303071.38,438,51530477.17,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-06,138508820.38,341,41363112.55,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-06,138508820.38,341,41363112.55,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-06,138508820.38,341,41363112.55,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-06,138508820.38,341,41363112.55,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-07,186917352.26,381,54623812.52,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-07,186917352.26,381,54623812.52,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-07,186917352.26,381,54623812.52,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-07,186917352.26,381,54623812.52,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-08,57532462.0,134,17208233.44,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-08,57532462.0,134,17208233.44,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-08,57532462.0,134,17208233.44,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-08,57532462.0,134,17208233.44,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-09,41993624.0,107,12545536.88,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-09,41993624.0,107,12545536.88,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-09,41993624.0,107,12545536.88,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-09,41993624.0,107,12545536.88,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-10,55145008.0,112,16473902.4,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-10,55145008.0,112,16473902.4,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-10,55145008.0,112,16473902.4,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-10,55145008.0,112,16473902.4,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-11,26557852.0,97,7916642.72,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-11,26557852.0,97,7916642.72,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-11,26557852.0,97,7916642.72,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-11,26557852.0,97,7916642.72,Q4,749953487.9,1724,223912958.21
Credit Card,2913731664.72,7529,869929375.84,2022-12,41581302.0,102,11585415.32,Q1,790651441.2,2026,236676578.86
Credit Card,2913731664.72,7529,869929375.84,2022-12,41581302.0,102,11585415.32,Q2,585290958.36,1903,174744799.23
Credit Card,2913731664.72,7529,869929375.84,2022-12,41581302.0,102,11585415.32,Q3,787835777.26,1876,234595039.54
Credit Card,2913731664.72,7529,869929375.84,2022-12,41581302.0,102,11585415.32,Q4,749953487.9,1724,223912958.21
Debit Card,1181141058.0,2096,351589952.34,2021-01,1947582.0,1,584274.6,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2021-01,1947582.0,1,584274.6,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2021-01,1947582.0,1,584274.6,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2021-01,1947582.0,1,584274.6,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2021-09,232000.0,2,69600.0,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2021-09,232000.0,2,69600.0,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2021-09,232000.0,2,69600.0,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2021-09,232000.0,2,69600.0,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2021-11,60760220.0,29,15898513.4,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2021-11,60760220.0,29,15898513.4,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2021-11,60760220.0,29,15898513.4,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2021-11,60760220.0,29,15898513.4,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2021-12,7924192.0,10,2377257.6,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2021-12,7924192.0,10,2377257.6,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2021-12,7924192.0,10,2377257.6,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2021-12,7924192.0,10,2377257.6,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-01,5952598.0,6,1785779.4,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-01,5952598.0,6,1785779.4,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-01,5952598.0,6,1785779.4,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-01,5952598.0,6,1785779.4,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-02,18436170.0,29,5530851.0,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-02,18436170.0,29,5530851.0,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-02,18436170.0,29,5530851.0,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-02,18436170.0,29,5530851.0,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-03,4350000.0,3,1305000.0,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-03,4350000.0,3,1305000.0,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-03,4350000.0,3,1305000.0,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-03,4350000.0,3,1305000.0,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-04,316854.0,5,95056.2,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-04,316854.0,5,95056.2,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-04,316854.0,5,95056.2,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-04,316854.0,5,95056.2,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-05,19189648.0,3,5392081.94,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-05,19189648.0,3,5392081.94,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-05,19189648.0,3,5392081.94,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-05,19189648.0,3,5392081.94,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-06,14592452.0,4,4319735.6,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-06,14592452.0,4,4319735.6,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-06,14592452.0,4,4319735.6,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-06,14592452.0,4,4319735.6,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-07,58000.0,1,17400.0,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-07,58000.0,1,17400.0,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-07,58000.0,1,17400.0,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-07,58000.0,1,17400.0,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-08,522539400.0,1001,156761820.0,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-08,522539400.0,1001,156761820.0,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-08,522539400.0,1001,156761820.0,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-08,522539400.0,1001,156761820.0,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-09,519912000.0,1001,155973600.0,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-09,519912000.0,1001,155973600.0,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-09,519912000.0,1001,155973600.0,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-09,519912000.0,1001,155973600.0,Q4,73614354.0,40,19754753.6
Debit Card,1181141058.0,2096,351589952.34,2022-11,4929942.0,1,1478982.6,Q1,30686350.0,39,9205905.0
Debit Card,1181141058.0,2096,351589952.34,2022-11,4929942.0,1,1478982.6,Q2,34098954.0,12,9806873.74
Debit Card,1181141058.0,2096,351589952.34,2022-11,4929942.0,1,1478982.6,Q3,1042741400.0,2005,312822420.0
Debit Card,1181141058.0,2096,351589952.34,2022-11,4929942.0,1,1478982.6,Q4,73614354.0,40,19754753.6
EasyPaisa,2370604874.14,1681,700008063.84,2021-01,49325346.0,140,14183670.9,Q1,526063958.5,444,156813094.03
EasyPaisa,2370604874.14,1681,700008063.84,2021-01,49325346.0,140,14183670.9,Q2,587650394.88,393,172417107.96
EasyPaisa,2370604874.14,1681,700008063.84,2021-01,49325346.0,140,14183670.9,Q3,544342656.76,361,161938583.09
EasyPaisa,2370604874.14,1681,700008063.84,2021-01,49325346.0,140,14183670.9,Q4,712547864.0,483,208839278.76
EasyPaisa,2370604874.14,1681,700008063.84,2021-02,46267238.0,29,13880171.4,Q1,526063958.5,444,156813094.03
EasyPaisa,2370604874.14,1681,700008063.84,2021-02,46267238.0,29,13880171.4,Q2,587650394.88,393,172417107.96
EasyPaisa,2370604874.14,1681,700008063.84,2021-02,46267238.0,29,13880171.4,Q3,544342656.76,361,161938583.09
EasyPaisa,2370604874.14,1681,700008063.84,2021-02,46267238.0,29,13880171.4,Q4,712547864.0,483,208839278.76
EasyPaisa,2370604874.14,1681,700008063.84,2021-03,47408968.0,17,14222690.4,Q1,526063958.5,444,156813094.03
EasyPaisa,2370604874.14,1681,700008063.84,2021-03,47408968.0,17,14222690.4,Q2,587650394.88,393,172417107.96
EasyPaisa,2370604874.14,1681,700008063.84,2021-03,47408968.0,17,14222690.4,Q3,544342656.76,361,161938583.09
EasyPaisa,2370604874.14,1681,700008063.84,2021-03,47408968.0,17,14222690.4,Q4,712547864.0,483,208839278.76
EasyPaisa,2370604874.14,1681,700008063.84,2021-04,36105000.0,25,10831500.0,Q1,526063958.5,444,156813094.03
EasyPaisa,2370604874.14,1681,700008063.84,2021-04,36105000.0,25,10831500.0,Q2,587650394.88,393,172417107.96
EasyPaisa,2370604874.14,1681,700008063.84,2021-04,36105000.0,25,10831500.0,Q3,544342656.76,361,161938583.09
EasyPaisa,2370604874.14,1681,700008063.84,2021-04,36105000.0,25,10831500.0,Q4,712547864.0,483,208839278.76
EasyPaisa,2370604874.14,1681,700008063.84,2021-05,45284312.0,22,13585293.6,Q1,526063958.5,444,156813094.03
EasyPaisa,2370604874.14,1681,700008063.84,2021-05,45284312.0,22,13585293.6,Q2,587650394.88,393,172417107.96
EasyPaisa,2370604874.14,1681,700008063.84,2021-05,45284312.0,22,13585293.6,Q3,544342656.76,361,161938583.09
EasyPaisa,2370604874.14,1681,700008063.84,2021-05,45284312.0,22,13585293.6,Q4,712547864.0,483,208839278.76
EasyPaisa,2370604874.14,1681,700008063.84,2021-06,54483170.0,20,16344951.0,Q1,526063958.5,444,156813094.03
EasyPaisa,2370604874.14,1681,700008063.84,2021-06,54483170.0,20,16344951.0,Q2,587650394.88,393,172417107.96
EasyPaisa,2370604874.14,1681,700008063.84,2021-06,54483170.0,20,16344951.0,Q3,544342656.76,361,161938583.09
EasyPaisa,2370604874.14,1681,700008063.84,2021-06,54483170.0,20,16344951.0,Q4,712547864.0,483,208839278.76
